,,,,,,,,,,,
,ID,,タイトル,Z,X,S,TOOL,RPM,SPD,ANG,Z
,202,,外荒2：大ハンドル追い込み(Z193.4),-34.6,40.5,,outer1,,,,-34.6
,203,,外荒2：外に逃げる(X60.0),-34.6,60,,none,,,,-34.6
,204,,外荒2：ケガキ用位置決め(Z193.6),-34.4,60,,none,,,,-34.4
,205,,外荒2：ケガキ線入れる(29.9mm),-34.4,50,,mark,,,,-34.4
,206,,外荒2：外に逃げる(X60.0),-34.4,60,,none,,,,-34.4
,207,,外荒2：Φ40.5→35.5 切込5.0mm(X35.5),7,35.5,,none,,,,7
,208,,外荒2：ケガキ付近まで送り,-33.5,35.5,,outer2,,,,-33.5
,209,,外荒2：大ハンドルで29.9mmまで(Z193.6),-34.4,35.5,,outer2,,,,-34.4
,210,,外荒2：完了 右に逃げる(Z235.0),7,35.5,,none,,,,7
,211,,外仕上2：位置決め(Z223.5),-4.5,60,,none,,,,-4.5
,212,,外仕上2：端面にバイト触れる(X35.5),-4.5,35.5,,none,,,,-4.5
,213,,外仕上2：右に逃げる(Z235.0),7,35.5,,none,,,,7
,214,,外仕上2：Φ35.4切込(X35.4),7,35.4,,none,,,,7
,215,,外仕上2：自動送り(Z194.5付近),-33.5,35.4,,finishing,,,,-33.5
,216,,外仕上2：追い込み削り(Z193.6),-34.4,35.4,,finishing,,,,-34.4
,217,,外仕上2：右に戻す(Z235.0),7,35.4,,none,,,,7
,218,,外仕上2：マイクロ測定・Φ35.0目標切込,7,35,,none,,,,7
,219,,外仕上2：自動送り(Z194.0付近),-34,35,,finishing,,,,-34
,220,,外仕上2：追い込み削り(Z193.5),-34.5,35,,finishing,,,,-34.5
,221,,外仕上2：端面の段々を整える(X60.0),-34.5,60,,finishing,,,,-34.5
,222,,外仕上2：完了 基準点へ戻す(Z235.0),7,60,,none,,,,7
,223,,"荒テーパ：準備(Z223.5, X35.0)",-4.5,35,,none,,,,-4.5
,224,,荒テーパ：端面エッジに触れる(中ハンドル0),-4.5,35,,none,,,,-4.5
,225,,荒テーパ：小ハンドルで右に逃げる(Z225.0),-3,35,,none,,,,-3
,226,,荒テーパ：中ハンドル2mm入れる(X31.0),-3,31,,none,,,,-3
,227,,荒テーパ：1パス目削り(斜め送り),-29.5,36,,rough,,,,-29.5
,228,,荒テーパ：戻し(X60.0),-29.5,60,,none,,,,-29.5
,229,,荒テーパ：開始点へ戻る(Z225.0),-3,60,,none,,,,-3
,230,,荒テーパ：中ハンドルさらに2mm進める(X27.0),-3,27,,none,,,,-3
,231,,荒テーパ：2パス目削り(斜め送り),-29.5,32,,rough,,,,-29.5
,232,,荒テーパ：逃げる(X60.0),-29.5,60,,none,,,,-29.5
